ACRONYM,DEFINITION
EES,establishment evaluation system
EFD,engineering flow diagram
EFGCP,European Forum on Good Clinical Practice
EFOIA,Electronic Freedom of Information Act
EFPIA,European Federation of Pharmaceutical Industries and Associations
EFT,electronic funds transfer
EFTA,European Free Trade Association
EGA,European Generics Medicines Association
EH & S,environmental health and safety
EHPAS (NCTR),Environmental Health and Program Assurance Staff (NCTR)
EHPC,Environmental Health Policy Committee (formerly CCEHRP) (currently inactive)
EHR,electronic health record
EHRP,Enterprise Human Resources and Payroll System
EI,establishent inspection
EI,Establishment Inventory (ORA)
EIA,environmental impact assessment
EIA,enzyme immunoassay
EID,electronic identification device
EIF,Expected Investment Fund
EIM,Enterprise Information Management
eIND,electronic investigational new drug application
EINECS,European Inventory of Existing Commercial Chemical Substances
EIP,Emerging Infections Program (CDC)
EIR,Entrepreneurs in Residence Program (CDRH)
EIR,establishment inspection report
EIS,environmental impact statement
EIS,Epidemic Intelligence Service
EIS (OC),Ethics and Integrity Staff (OC)
EKG,electrocardiogram
ELA,establishment license application
ELDU,extra-label drug use
eLEXNET,Electronic Laboratory Exchange Network
ELINS,European List of Notified Chemical Substances
ELIPS,Electronic Labeling Information Processing System (FDA)
ELISA,Enzyme-linked immunosorbent assay
eLIST,electronic listing system
ELMS,Enterprise System Life Cycle Management Support
ELPS,establishment licensing and product surveillance
ELS,Establishment License Supplement
EMAC,Emergency Management Assistance Compact
EMBS,Engineering in Medicine and Biology Society (IEEE)
EMC,electromagnetic compatibility
EMEA,European Medicines Agency (formerly European Medicines Evaluation Agency)
EMI,electromagnetic interference
EML,Environmental Measurement Laboratory
EMOPS (OC),Office of Emergency Operations (OC)
EMS,Emergency Medical Services
EMV,eye-motor-verbal (Glasgow coma scale)
ENG (OC),Engineering Team (OC)
ENL,erythema nodosum leprosum
ENT,"ear, nose and throat"
ENTB (CDRH),"Ear, Nose, and Throat Devices Branch (CDRH)"
EO,executive order
EOC,Emergency Operations Center (FDA)
EOD,enter on duty
eOFP,electronic Official Personnel File
EOM,extraocular muscles
EOP,Emergency Operations Plan
EOP1,end-of phase 1
EOP2,end-of-phase 2
EORTC,European Organisation for Research and Treatment of Cancer
EOS,end of study
EOS (CDER),Executive Operations Staff (CDER)
EOS (ORA),Executive Operations Staff (ORA)
EP,European Pharmacopoeia
EPA,Environmental Protection Agency (U.S.)
EPAR,European Public Assessment Reports (EMEA)
EPC,Evidence-based Practice Center
EPD (CDRH),Electronic Product Devices Branch (CDRH)
EPFA,European Plasma Fractionation Association
EPI,essential prescribing information
EPIA,Egg Products Inspection Act
EPIA,Egg Products Inspection Act
EPL,effective patent life
EPLC,Enterprise Performance Life Cycle
EPMS,Employee Performance Management System
EPO,European Patent Office
EPRG,European Pharmacovigilance Research Group
EPRS,Establishment Product Registration System
EPT (CFSAN),Epidemiology Team (CFSAN)
ER,extended release [medication]
ER/ES,electronic records/electronic signatures
ERB,Ethics Review Board
ERB (CFSAN),Elemental Research Branch (CFSAN)
ERC,Engineering Research Center (NSF)
ERCP,endoscopic retrograde cholangio-pancreatography
EREA,Export Reform and Enhancement Act of 1996
ERIC,Employee Resource Information Center
ERISA,Employee Retirement Income Security Act of 1974
ERP,Emergency Response Plan
ERP,enterprise resource planning
ERR,entry review recommended (ORA AofC code)
ERS,Economic Research Service (USDA)
ERS,electronic regulatory submission
ERS,Emergency Relocation Site
ERSB (CFSAN),Emergency Response and Surveillance Branch (CFSAN)
ERSR,Electronic Regulatory Submissions and Review
ERT,Emergency Response Team
ES,effect size
eSAF,Electronic State Access to FACTS
ESB (ORA),Enterprise Systems Branch (ORA)
ESC,electronic submission coodinator
ESD,electrostatic discharge
ESF,Emergency Support Function
ESG,Electronic Submissions Gateway
ESIG,electronic signature
ESM,Electronic Secure Messaging
ESR,erythrocyte sedimentation rate
ESRA,European Society of Regulatory Affairs
ESS (CBER),Executive Secretariat Team (CBER)
ESS (NCTR),Executive Secretariat Staff (NCTR)
ESTRI,Electronic Standards for the Transfer of Regulatory Information
esub,electronic submission
ET,endotracheal
ET,excepted trust
ET (CFSAN),Education Team (CFSAN)
ETA,EASE time and attendance module
ETASU,Elements to Assure Safe Use
EtOH,ethanol
ETS,environmental tobacco smoke
eTS,eTravel services vendors
ETT,endotracheal tube
ETT,exercise tolerance test
EU,endotoxin unit
EU,European Union
EUA,emergency use authorization
EUA,examination under anesthesia
EUCOMED,European Confederation of Medical Devices Associations
EUP,experimental use permit
EV-D68,Enterovirus D68
EVA,entry validation application
EVS (OC),Evaluation Staff (OC)
EWG,expert working group
FA,filing action
FAA,Federal Aviation Administration (U.S. Department of Transportation)
FAAN,Food Allergy and Anaphylaxis Network
FACA,Federal Advisory Committee Act 1972
FACS (CFSAN),Food Advisory Committee Staff (CFSAN)
FACT,Food Animal Concerns Trust
FACT,Functional Assessment of Cancer Therapy
FACTS,Field Accomplishments and Compliance Tracking System
FACTS,Frequency of Agents Communicable by Transfusion Study
FACTS@FDA,system for electronically communicating approved drug labeling and for disseminating prescribing information
FAEMS,Foods Adverse Event Monitoring System
FAERS,FDA Adverse Event Reporting System
FAHCT,Foundation for Accreditation of Hematopoietic Cell Therapy
FAI,further action indicated
FAIR,Federal Activities Inventory Reform Act of 1998
FALCPA,Food Allergen Labeling and Consumer Protection Act
FAM,foreign affairs manual
FAME,Formula for Achieving Managerial Excellence
FAN,Food Allergy Network
FAO,Food and Agriculture Organization of the United Nations
FAP,food additive petition
FAP,food additive petition approval number (ORA AofC code)
FAPMC,Food Animal Production Medicine Consortium
FAQ,frequently asked questions
FAR,Federal Acquisition Regulations
FAR,Field Alert Report
FARAD,Food Animal Residue Avoidance Databank
FARM,Food Additives Regulatory Management System (CFSAN)
Farmindu stria,Association of Italian Pharmaceutical Manufacturers
FASA,Federal Acquisition Streamlining Act of 1994
FASAB,Federal Accounting Standards Advisory Board
FASEB,Federation of American Societies for Experimental Biology
FASS,Federation of Animal Science Societies
FASTAR,FDA Advanced Submission Tracking and Review
FAT,factory acceptance test
FATA,federal agency travel administrator
FATA,Federal Anti-Tampering Act
FAX,facsimile
FBI,Federal Bureau of Investigation (U.S. Department of Justice)
FBS,fasting blood sugar
FCC,Federal Communications Commission (U.S.)
FCC,Forensic Chemistry Center
FCC,French cheese facility certification number (ORA AofC code)
FCCSET,"Federal Coordinating Council for Science, Engineering and Technology"
FCE,food canning establishment number (ORA aofC code)
FCIC,Federal Consumer Information Center
FCLAA,Federal Cigarette Labeling and Advertising Act
FCN,food contact substance notification
FCO,Federal Coordinating Officer
FCRDC,Frederick Cancer Research and Development Center
FCS,Food Contact Substance
FD&C ACT,"Federal Food, Drug, and Cosmetic Act of 1938"
FD-1932,"FDA form for veterinary adverse drug reaction, lack of effectiveness, product defect report--mandatory"
FD-1932a,"FDA form for veterinary adverse drug reaction, lack of effectiveness, product defect report--voluntary"
FD-2301,FDA form for transmittal of periodic reports and promotional material for new animal drugs
FD-356V,FDA form for new animal drug appication
FD-483,FDA form used as a written notice of deficiencies found in inspections
FDA,Food and Drug Administration
FDA GLOBE,"Gay, Lesbian, Bisexual, Transgender Employees of the Federal Government within FDA"
FDA-ARGOS,FDA dAtabase for Regulatory Grade micrObial Sequences
FDA-SRS,Spontaneous Reporting System of the Food and Drug Administration
FDAAA,Food and Drug Administration Amendments Act
FDAMA,Food and Drug Administration Modernization Act of 1997
FDARA,FDA Revitalization Act
FDAS,Defense Finance and Accounting Services
FDASIA,Food and Drug Administration Safety and Innovation Act
FDASS (OC),FDA Safety Staff (OC)
FDC,"Food, Drug, & Cosmetic"
FDCA,"Federal Food, Drug, and Cosmetic Act of 1938"
FDERA,Food and Drug Export Reform and Enhancement Act of 1996
FDF,Finished Dosage Form
FDLI,Food and Drug Law Institute
FDOT (CFSAN),Food Defense Oversight Team (CFSAN)
FEB,Federal Executive Board
FECA,Federal Employees' Compensation Act
FedGLOBE,"Gay, Lesbian, Bisexual, Transgender Employees of the Federal Government"
FEDRIP,Federal Research in Progress Database
FedRooms,Federal Premier Lodging Program
FEEA,Federal Employee Assistance and Education Fund
FEGLI,Federal Employees Group Life Insurance
FEHB,Federal Employees Health Benefits [Program]
FEHBP,Federal Employees Health Benefits Program
FEI,FDA Establishment Identifier (ORA)
FEMA,Federal Emergency Management Agency
FERC,Federal Energy Regulatory Commission
FERN,Food Emergency Response Network
FERS,Federal Employees Retirement System
FES (OC),Financial Enterprise Solutions (OC)
FF,Fogarty Fellow
FFD & C,"Federal Food, Drug and Cosmetic Act of 1938"
FFDCA,"Federal Food, Drug, and Cosmetic Act of 1938"
FFLA,Family Friendly Leave Act
FFP,fresh frozen plasma
FFRM,Food Facility Registration Module (FURLS)
FFS,fee for service
FGF,fibroblast growth factor
FGIS,Comisión Federal para la Protección contra Riesgos Sanitarios (Federal Commission for the Protection Against Sanitary Risks) (Mexico)
FHA,Federal Health Architecture
FHSA,Federal Hazardous Substances Act (Consumer Product Safety Commission)
FIC,John E. Fogarty International Center (NIH)
FICA,Federal Insurance Contributions Act
FIFO,first in first out
FIFR,first-in-first reviewed
FIFRA,"Federal Insecticide, Fungicide, and Rodenticide Act"
FIH,first-in-human [clinical trials]
FIREBIRD,Federal Investigator Registry for Bioinformatics Research Data
FIRSt,FDA Information Retrieval System
FIS,Field Information System
FISMA,Federal Information Security Management Act
FIT,FDA Internet Improvement Team
FIT,FSMA Implementation Team (FSMA - Food Safety Modernization Act)
FLC,Federal Laboratory Consortium
FLETC,Federal Law Enforcement Training Center
FLQ,fluoroquinolone
FLSA,Fair Labor Standards Act
FLSS (CFSAN),Food Labeling and Standards Staff (CFSAN)
FLTCIP,Federal Long Term Care Insurance Program
FM,filing meeting
FM,final monograph
FMB (CDRH),Financial Management Branch (CDRH)
FMCS,Federal Mediation and Conciliation Service
FMD,field management directives
FMD,foot and mouth disease
FMEA,failure modes and effect analysis
FMECA,failure modes effects and criticality analysis
FMFIA,Federal Management Financial Integrity Act of 1982
FMI,Food Marketing Institute
FMIA,Federal Meat Inspection Act
FML,Firms Master List (ORA)
FMLA,Family Medical Leave Act of 1993
FMRI,functional magnetic resonance imaging
FMS,Financial Management Service (U.S. Department of the Treasury)
FNCS,"Food, Nutrition, and Consumer Services"
FNH,febrile non-hemolytic reaction
FNS,Food and Nutrition Service
FOB,federal office building
FOI,freedom of information
FOIA,Freedom of Information Act
FOIB (CDRH),Freedom of Information Branch (CDRH)
FONSI,finding of no significant impact
FOP,financial operating plan
FORCG,Foodborne Outbreak Response Coordinating Group
FOT,FSMA Operations Team (FSMA - Food Safety Modernization Act
FOUO,for official use only
FPA,Food Products Association
FPB (CDRH),Field Programs Branch (CDREH)
FPB (CFSAN),Field Programs Branch (CFSAN)
FPB (CFSAN),"Food Processing Branch (Chicago, Illinois) (CFSAN)"
FPBR (CFSAN),"Food Packaging Branch (Chicago, Illinois) (CFSAN)"
FPEC,Food Program Executive Committee
FPET (CFSAN),Food Processing Evaluation Team (CFSAN)
FPIF,Finnish Pharmaceutical Industry Association
FPL,final printed label
FPLA,Fair Packaging and Labeling Act (1967)
FPLP,Federal Premier Lodging Program
FPS,Federal Protective Service (Department of Homeland Security)
FPVST (OC),Facilities Planning and Voice Services Team (OC)
FQ,fluoroquinolone
FQPA,Food Quality Protection Act of 1996
FR,Federal Register
Fr.P.,Pharmacopee Francaise (French Pharmacopoeia)
FRAC,FDA Research Animal Council
FRC,Federal Records Center (Suitland)
FRC,functional residual capacity
FRDTS,Federal Register Document Tracking System
FRP,Federal Response Plan (FEMA)
FS,feasibility study
FS,federal standard (U.S.)
FSA,Farm Service Agency (USDA)
FSANZ,Food Standards Australia New Zealand
FSH,follicle-stimulating hormone
FSI,Food Safety Initiative (CFSAN)
FSIS,Food Safety and Inspection Service (USDA)
FSMA,Food Safety Modernization Act
FSPS (ORA),Federal-State Program Staff (ORA)
FSTA,federal supervisory travel approver
FT (OC),Financial Team (OC)
FTA,fault tree analysis
FTB (CFSAN),Food Technology Branch (CFSAN)
FTC,Federal Trade Commission (U.S.)
FTCA,Federal Trade Commission Act
FTE,full-time equivalent
FTIM,first time in man
FTP,file transfer protocol
FTR,Federal Travel Regulations
FTS,Federal Telecommunications System
FTT,failure to thrive
FU,Farmacopea Ufficiale (Italian Pharmacopoeia)
FUO,fever of unknown origin
FURLS,FDA Uniform Registration & Listing System
FVC,forced vital capacity
FWAP,Flexible Workplace Arrangements Program
FWFPS,Field Work Force Planning System
FWP,Federal Women's Program
Fx,fracture
FY,fiscal year
FYI,for your information
G-MED (LNE),Medical Device Assessment Group (Laboratoire National de Metrologie et d'Essias)
GAAP,Greater Access to Affordable Pharmaceuticals Act of 2003
GADIS,Global Alliance of Drug Information Specialists
GADPTRA,Generlc Animal Drug and Patent Term Restoration Act
GAMP,good automated manufacturing practice
GAO,General Accounting Office
GAO,Government Accountability Office (U.S.)
GAPS,good agricultural practices
GARR,Grants Application Review Request
GAT,genome amplification testing
GATT,General Agreement of Tariffs and Trade
GBCA,gadolinium-based contrast agent
GBL,government bill of lading
GC,gas chromatography
GC,general counsel (FDA)
GC,gonorrhea
GCBS,Global Collaboration for Blood Safety (WHO)
GCC,Government Coordinating Council [of the Food and Agriculture Sector]
GCLP,good clinical laboratory practice
GCP,good clinical practice
GCPB I (CDER),Good Clinical Practice Branch I (CDER)
GCPB II (CDER),Good Clinical Practice Branch II (CDER)
GCPP (OC),Good Clinical Practice Program (OC)
GCRC,General Clinical Research Centers
GCSL (CFSAN),"Gulf Coast Seafood Laboratory (Dauphin Island, Alabama) (CFSAN)"
GDEA,Generic Drug Enforcement Act of 1992
GDS,global distribution system
GDUF,Generic Drug User Fees
GDUFA,Generic Drug User Fee Amendments
GEBAT,government excess baggage authorization ticket
GeMCRIS,Genetic Modification Clinical Research Information System (NIH)
GEO,genetically engineered organism
GEP,good engineering practice
GFSP,Global Food Safety Partnership
GG,goal group
GGP,good guidance practice
GHC,Group Health  Cooperative
GHDB (CDRH),General Hospital Devices Branch (CDRH)
GHS,Globally Harmonised System of Classification and Labelling of Chemicals (UN)
GHTF,Global Harmonization Task Force
GI,gastrointestinal
GI-ARS,Gastrointestinal Acute Radiation Syndrome
GIF,graphics interchange format
GILS,Government Information Locator Service
GIPSA,"Grain Inspection, Packers & Stockyards Administration (USDA)"
GIS,geographical information system
GLP,good laboratory practice
GLPBB (CDER),Good Laboratory Practices and Bioequivalence Investigations Branch (CDER)
GM,genetically modified
GMA,Grocery Manufacturers Association
GMDN,Global Medical Device Nomenclature
GME,Graduate Medical Education
GMID,Global Market Information Database
GMO,genetically modified organism
GMO,Grants Management Officer
GMP,good manufacturing practice
GnRH,gonadotropin-releasing hormone
GOCO,government-owned contractor-operated
GOCRG,Gastrointestinal and Other Cancer Research Group
GOTS,government off-the-shelf
GOVCC,government travel charge card
GOVTRIP,government travel website operated by Northrop Grumman
GPEA,Government Paperwork Elimination Act
GPhA,Generic Pharmaceutical Association
GPO,Government Printing Office (U.S.)
GPO,group purchasing organization
GPP,good programming practices
GPRA,Government Performance Results Act of 1993
GPRD,General Practice Research Database
GRAS,generally recognized as safe
GRAS/E,generally recognized as safe and effective
GRASE,generally recognized as safe and effective
GRC,Gerontology Research Center
GRDB (CDRH),Gastroenterology and Renal Devices Branch (CDRH)
GRMP,Good Review Management Principles and Practices
GRNs,Generally Recognized as Safe Notifications
GRP,good review practice
GRS,general records schedule
GRUVSS,Global Regulatory Utilization of Vaccine Safety Surveillance
GS,General Schedule
GSA,General Services Administration (U.S.)
GSDB (CDRH),General Surgery Devices Branch (CDRH)
GSFA,general standard for food additives
GSP,Good Statistics Practice
gt,drops
GTB (CBER),Gene Therapies Branch (CBER)
GTIB (CBER),Gene Transfer and Immunogenicity Branch (CBER)
GTIN,Global Trade Item Number
GTIS,Gene Therapy Information System
GTL (NCTR),Genetic Toxicology Laboratory (NCTR)
gtt,drops
GTT,glucose tolerance test
GU,genitourinary
GUI,graphical user interface
GWQAP,Government Wide Quality Assurance Program
GxP,"good ""x"" practices"
GXT,graded exercise tolerance (Stress test)
H/H,hemoglobin/hematocrit
H/H,Henderson-Hasselbach equation
HA,headache
HAA,hepatitis-associated antigen
HAACP,Hazard Analysis and Critical Control Point
HAART,Highly Active Antiretroviral Therapy – the name commonly given to combinations of anti-HIV drugs
HAB (CFSAN),Hazard Assessment Branch (CFSAN)
HAC,Health Administration Center (VA)
HACCP,hazard analysis critical control point
HAD,Hospital Anxiety and Depression [scale]
HAI,Health Action International
HAM/TSP,HTLV-I-associated myelopathy / tropical spastic paraparesis
HARTS,Hoechst Adverse Reaction Terminology System
HAV,hepatitis A virus
HAZMAT,hazardous material
HAZOP,hazard and operability
HBOC,hemoblogin-based oxygen carrier
HBOT,Hyperbaric Oxygen Therapy
HBP,high blood pressure
HBV,hepatitis B virus
HCDB (CDRH),Hematology and Cytology Devices Branch (CDRH)
HCFA,Health Care Financing Administration (now CMS)
HCG,human chorionic gonadotropin
HCI,human-computer interaction
HCO,health care organization
HCP,healthcare provider
HCT,hematocrit
HCT/P,human cellular and tissue-based products
HCTERS,Human Cell and Tissue Establishment Registration System
HCTRS,Human Cell and Tissue Establishment Registration System
HCTZ,hydrochlorothiazide
HCV,hepatitis C virus
HDC,High dose chemotherapy
HDE,humanitarian use exemptions (CDRH)
HDL,high density lipoprotein
HDMA,Healthcare Distribution Management Association
HDP,hydroxymethylene diphosphonate
HDPE,high density polyethylene
HEENT,"head, eyes, ears, nose, throat"
HEO,Hispanic Employee Organization
HEPA,high efficiency particulate air (filter)
hERG,human ether-a-go-go gene
HF,high frequency
HF,mail code for FDA Office of the Commissioner
HFA,Hemophilia Federation of America
HFA,hydrofluoroalkane
HFD,mail code for CDER
HFEB (CDRH),Human Factors Engineering Branch (CDRH)
HFES,Human Factors and Ergonomics Society
HFM,mail code for CBER
HFS,mail code for CFSAN
HFT,mail code for NCTR
HFV,mail code for CVM
HFZ,mail code for CDRH
Hgb,hemoglobin
HGH,human growth hormone
HHE,health hazard evaluation
HHI,Herth Hope Index
HHMI,Howard Hughes Medical Institute
HHS,Health and Human Services (U.S. Department of)
HHS ASPA,"Health and Human Services (U.S. Department of), Office of the Assistant Secretary for Public Affairs"
HHS SERT,Health and Human Services Secretary's Emergency Response Team
HIBCC,Health Industry Business Communication Council
HIM,Health Information Management
HIMA,Health Industry Manufacturers Association
HIMSS,Healthcare Information Management Systems Society
HIPAA,Health Insurance Portability and Accountability Act of 1996
HIRS,Health Information Resources Service
HISB,Health Informatics Standards Board
HISPC,Health Information Security and Privacy Collaboration
HIT,Health Information Technology
HITSP,Health Information Technology Standards Panel
HIV,human immunodeficiency virus
HL7,Health Level 7
HLA,Human Leukocyte Antigen
HLBT,heat labile bacterial toxins
HLGT,high level group term
HLT,high level term
HLT,Hurricane Liaison Team (FEMA)
HMO,health maintenance organization
HNK cells,human neonatal kidney cells
HPB,Health Protection Board (Canada)
HPB,Hematological Products Branch (CBER) (defunct)
HPC,hematopoietic progenitor cells
HPC,human progenitor cells
HPFB,Health Products and Food Branch (Canada's FDA)
HPHC,harmful and potentially harmful constituents
HPK,human pharmacokinetic
HPLC,high performance liquid chromatography
HPO,high performance organization
HPUS,Homeopathic Pharmacopeia of the United States
HPV,human papillomavirus
HR,heart rate
HR,human resources
HRG,health research group
HRRC,Human Research Review Committee
HRSA,Health Resources and Services Administration (DHHS)
HS,at bedtime
HS,handling statement
HS,high structure
HSA,Health Services Administration
HSBT,heat stable bacterial toxins
HSC,Homeland Security Council
HSIN,Homeland Security Information Network
HSOC,Homeland Security Operations Center
HSPD,Homeland Security Presidential Directive
HSS,Hemophilia Surveillance System (CDC)
HSUS,Humane Society of the United States
HSV,herpes simplex virus
HTLV,human T-lymphotropic virus
HTLV-III,"human lymphotropic virus, type III (AIDS agent, HIV)"
HTM,health technical memorandum
HTML,hypertext markup language
HTN,hypertension
HTRB (CBER),Human Tissue and Reproduction Branch (CBER)
HTTP,hypertext transfer protocol
HUD,Department of Housing and Urban Development (U.S.)
HUD,humanitarian use device (CDER)
HVAC,"heating, ventilating, and air conditioning"
Hx,history
I & D,incision and drainage
I & O,intake and output
IA,Import Administration (U.S. Department of Commerce)
IAB (CDRH),Information and Analysis Branch (CDRH)
IAB (ORA),Infrastructure Applications Branch (ORA)
IACUC,Institutional Animal Care and Use Committee
IAG,Interagency Agreement
IAL,informal action levels
IAMFES,"International Association of Milk, Food and Environmental Sanitarians"
IARC,International Agency for Research on Cancer (WHO)
IAS (CFSAN),Industry Activities Staff (CFSAN)
IAS (CFSAN),International Affairs Staff (CFSAN)
IAS (OC),International Agreements Staff (OC)
IAST (CFSAN),International Activities Staff (CFSAN)
IATA,International Air Transport Association
IAVG,Interagency Vaccine Group
IAW,in accordance with
IB,Investigator's Brochure
IB (CFSAN),Immunobiology Branch (CFSAN)
IB (ORA),International Branch (ORA)
IBB (CFSAN),Instrumentation and Biophysics Branch (CFSAN)
IBD,International Birth Date
IBE,individual bioequivalence
IBP,Indian black pepper certificate (ORA AofC code)
IBR (CFSAN),Import Branch (CFSAN)
IBS,irritable bowel syndrome
IC,informed consent
ICA,intelligent console architecture
ICA,inter-Center agreement
ICAM,International Cooperative Agreements Manual
ICAO,International Civil Aviation Organization
ICB (CDRH),Inspection and Compliance Branch (CDRH)
ICB (CFSAN),Implementation and Compliance Branch (CFSAN)
ICCBBA,"International Council for Commonality in Blood Banking Automation, Inc."
ICCVAM,Interagency Coordinating Committee on Validation of Alternative Methods
ICD,informed consent document
ICD-9-CM,"International Classification of Diseases, Ninth Revision, Clinical Modification"
ICDB (CDRH),Infection Control Devices Branch (CDRH)
ICDB (CDRH),Interventional Cardiology Devices Branch (CDRH)
ICDRA,International Conference of Drug Regulatory Authorities
ICE,Immigration and Customs Enforcement (Department of Homeland Security)
ICF,Informed Consent Form
ICH,International Conference on Harmonisation (of Technical Requirements for Registration of Pharmaceuticals for Human Use)
ICIB (CDRH),Intraocular and Corneal Implants Branch (CDRH)
ICL,idiopathic CD4+ T-lymphocytopenia
ICLAS,International Council for Laboratory Animal Science
ICMJE,International Committee of Medical Journal Editors
ICPEMC,International Commission for Protection Against Environmental Mutagens and Carcinogens
ICRP,International Commission on Radiological Protection
ICRU,International Commission on Radiation Units and Measurements
ICS,Incident Command System
ICSR,Individual Case Safety Reports
ICTAP,Interagency Career Transition Assistance Plan
ICU,intensive care unit
ID,Identification
IDC,Information and Data Committee
IDDM,insulin dependent diabetes mellitus
IDE,investigational device exemption (CDRH)
IDE,investigational device exemption number (ORA AofC code)
IDE (CDRH),Investigational Device Exemptions Sections (CDRH)
IDF,Immune Deficiency Foundation
IDF,International Dairy Federation
IDIQ,"indefinite-delivery, indefinite-quantity [contracts]"
IDL,international date line
IDM,Informational Disclosure Manual
IDP,individual development plan
IDR,idiosyncratic drug reaction
IEC,Independent Ethics Committee (DHHS)
IEE,intervention effect estimate
IEEE,Institute of Electrical and Electronics Engineers
IFA,indirect fluorescent antibody
IFA,investigational food additive (file)
IFAD,International Food Additives Database (CFSAN)
IFE,import for export (ORA AofC code)
IFIC,International Food Information Council
IFIP,International Federation for Information Processing
IFMFS (CFSAN),Infant Formula and Medical Foods Staff (CFSAN)
IFPMA,International Federation of Pharmaceutical Manufacturers Associations
IFSAC,Interagency Food Safety Analytics Collaboration
IFT,Institute of Food Technologists
IFU,instructions for use
IFWG,Interagency Food Working Group
IG,immunoglobulin
IG,inspector general
IgA,immunoglobin A
IgD,immunoglobin D
IgE,immunoglobin E
IGF,insulin-like growth factor
IgG,immunoglobin G
IGIV,immune globulin intravenous
IgM,immunoglobin M
IHS,Indian Health Service (DHHS)
IIC,inspector-in-charge
iiFAR,incurably ill for Animal Research
IIG,Inactive Ingredient Guide
IIMB (CDRH),IT Infrastructure Management Branch (CDRH)
IIMG,Interagency Incident Management Group
IIS,internet information officer
ILAR,Institute for Laboratory Animal Research
IM,Intramuscular
IMB,Irish Medicines Board
IMB (CDER),Interface Management Branch (CDER)
IMB (CDRH),Information Management Branch (CDRH)
IMC,"Information Management Consultants, Inc."
IMCC,Information Management Coordinating Committee (CBER)
IMDA,Irish Medical Device Association
IMDB (CDRH),Immunology and Molecular Diagnostics Devices Branch (CDRH)
IMDG,International Maritime Dangerous Goods Code
IMDRF,International Medical Device Regulators Forum
IMLS,Institute of Museum and Library Services
IMO,International Maritime Organisation
IMP,investigational medicinal product
IMPAC,"Information for Management, Planning, Analysis and Coordination"
IMPAC,International Merchant Purchase Authorization Card
IMPD,Investigational Medicinal Product Dossier (EU)
IMS,Information Management System
IMS,Interstate Milk Shippers
IMS (CDRH),Issues Management Staff (CDRH)
IMT,Incident Management Team
IMT,International Medical Terminology
IMTS,Industry Meeting Tracking System
INA,investigational new animal drug number (ORA AofC code)
INAD,investigational new animal drug
INADA,investigational new animal drug application
IND,investigational new drug
IND,investigational new drug application
IND,investigational new drug number (ORA AofC code)
INDA,investigational new drug application
INDC,Investigational New Drug Committee
INFARME D,Instituto Nactional da Farmaciae e do Medicamento (Portugal)
INN,International Approved Names for Pharmacopoeial Substances
INN,international nonproprietary name
INNS,International Neural Network Society
INS,incident of national significance
INV sample,investigational sample
IO,Immediate Office
IOB,International Operations Branch (ORA)
IOM,Institute of Medicine of the National Academies
IOM,Investigation Operations Manual
IOTF,Interagency Oncology Task Force (FDA and NCI)
IP,information panel
IP,internet protocol
IPC,in process control
IPC,incidental patient contact
IPCB (CDER),Investigations and Preapproval Compliance Branch (CDER)
IPCS,International Programme on Chemical Safety (WHO)
IPEC,International Pharmaceutical Excipients Council
IPM,Import Program Manager
IPO,initial public offering
IPOAB (CDRH),Information Processing and Office Automation Branch (CDRH)
IPPIA,International Plasma Products Industry Association
IPRMS (OC),International Planning and Resource Management Staff (OC)
IPRO,Independent Pharmaceutical Research Organization
IPS (OC),IMPAC Program Staff (OC)
IPS (OC),International Policy Staff (OC)
IPT,Integrated Project Team
IPU,Irish Pharmaceutical Union
IPV,inactivated poliovirus vaccine
IQ,installation qualification
IQA,Institute of Quality Assurance (UK)
IQMP,Integrated Quality Management Plan
IR,immediate release
IR,information request
IRA,immediate response authority
IRA,Investigational and Related Application
IRB,Institutional Review Board
IRB,Investigational Review Board
IRC,impact resistance lens certification (ORA AofC code)
IRC,internet relay chat
IRDM,insulin resistant diabetes mellitus
IREAS (CDRH),International Relations and External Affairs Staff (CDRH)
IRIS,International Regulatory Issues Staff (ORA)
IRM,information resources management
IRMC,Information Resources Management College
IRS,"identical, related, or similar"
IRS,Incident Reporting System
IRS,Internal Revenue Service (U.S. Department of the Treasury)
IRS (OC),International Relations Staff (OC)
IRTA,Intramural Research Training Award (NIH)
IS,ingredients statement
IS,interstate commerce
ISA,information systems architecture
ISAC,Information Sharing and Analysis Center
ISASS (OC),International Scientific Activities and Standards Staff (OC)
ISB (CDRH),Inspection Support Branch (CDRH)
ISBT,International Society of Blood Transfusion
ISBT 128,"International Society of Blood Transfusion standard for blood, tissue, and organ identification"
ISDN,Integrated Services Digital Network
ISE,integrated summary of efficiency
ISIS,Import Support and Information System
ISMP,Institute for Safe Medication Practices
ISO,International Organization for Standardization
ISP,internet service provider
ISPE,International Society for Pharmaceutical Engineering
ISPE,International Society for Pharmacoepidemiology
ISR,Individual Safety Report
ISS,Integrated Summary of Safety
ISS/ISE,integrated summary of safety and effectiveness
ISSO,information systems security officer
IT,information technology
ITA,International Trade Administration
ITACS,Import Trade Auxiliary Communication System
ITAS,Integrated Time and Attendance System
ITATMT (OC),IT Asset Tracking and Management Team (OC)
ITB (CFSAN),Immunotoxicology Branch (CFSAN)
ITC,International Trade Commission (U.S.)
ITCB (OC),Information Technology Contracts Branch (OC)
ITCC,Information Technology Coordinating Committee (CDER)
ITDS,International Trade Data System
ITF,Inspection Task Force (CBER)
ITGS (OC),IT Governance Staff (OC)
